gid	n_B73	n_Mo17	n_ambiguous
ENSRNA049478368	1	0	0
ENSRNA049478375	1	0	1
ENSRNA049478428	1	0	0
ENSRNA049479432	4	3	0
ENSRNA049479509	20	28	0
ENSRNA049479540	4	0	0
Zm00001d000472	1	0	0
Zm00001d000475	2	0	0
Zm00001d000485	5	16	0
Zm00001d000492	1	1	0
Zm00001d000493	1	1	0
Zm00001d000494	1	1	0
Zm00001d000495	1	1	0
Zm00001d000496	1	1	0
Zm00001d000502	36	62	0
Zm00001d000508	0	1	0
Zm00001d000510	2	0	0
Zm00001d000522	456	303	1
Zm00001d000523	628	488	3
Zm00001d000524	456	303	1
Zm00001d000526	167	198	2
Zm00001d000544	0	2	0
Zm00001d000545	1	4	0
Zm00001d000547	29	0	0
Zm00001d000548	50	0	0
Zm00001d000550	1	0	0
Zm00001d000566	1	2	0
Zm00001d000580	9	0	0
Zm00001d000582	32	21	0
Zm00001d000589	18	32	0
Zm00001d000590	1	0	0
Zm00001d000592	1	0	0
Zm00001d000603	14	0	0
Zm00001d000612	3	0	0
Zm00001d000617	1	2	0
Zm00001d000623	50	65	1
Zm00001d000640	4	0	0
Zm00001d000647	7	0	0
Zm00001d000652	0	1	0
Zm00001d000657	0	1	0
Zm00001d000659	3	10	1
Zm00001d000662	47	49	1
Zm00001d000665	9	14	1
Zm00001d000671	0	1	0
Zm00001d000676	0	1	0
Zm00001d000683	1	0	0
Zm00001d000685	454	285	9
Zm00001d000686	1	0	0
Zm00001d000707	18	18	0
Zm00001d000709	410	704	24
Zm00001d000714	15	6	0
Zm00001d000721	67	73	1
Zm00001d000729	71	51	1
Zm00001d000730	19	6	0
Zm00001d000732	1	0	0
Zm00001d000733	18	25	0
Zm00001d000736	9	7	0
Zm00001d000737	2	1	0
Zm00001d000740	0	5	0
Zm00001d000741	70	0	0
Zm00001d000761	2	0	0
Zm00001d000763	5	7	0
Zm00001d000777	178	0	5
Zm00001d000782	0	1	0
Zm00001d000791	100	44	0
Zm00001d000805	5	0	0
Zm00001d000824	9	14	1
Zm00001d000825	0	1	0
Zm00001d000826	0	1	0
Zm00001d000827	623	334	8
Zm00001d000829	241	0	1
Zm00001d000830	4	0	0
Zm00001d000842	3	0	0
Zm00001d000844	1	0	0
Zm00001d000849	285	210	3
Zm00001d000853	25	0	0
Zm00001d000854	1	0	0
Zm00001d000899	25	50	0
Zm00001d000904	1	0	0
Zm00001d000910	1	0	0
Zm00001d000911	1	0	0
Zm00001d000930	0	1	0
Zm00001d000943	1	0	0
Zm00001d000967	0	10	0
Zm00001d000970	254	238	3
Zm00001d000974	3	0	0
Zm00001d000976	2	0	0
Zm00001d000978	1	0	0
Zm00001d000981	2	0	0
Zm00001d000982	1	49	2
Zm00001d000984	1	0	0
Zm00001d000992	4	3	0
Zm00001d000995	4	1	0
Zm00001d000998	31	22	0
Zm00001d000999	34	34	0
Zm00001d001000	2	0	0
Zm00001d001005	142	110	0
Zm00001d001009	9	0	0
Zm00001d001011	30	21	1
Zm00001d001012	51	34	1
Zm00001d001014	9	0	0
Zm00001d001023	40	28	0
Zm00001d001042	3	18	0
Zm00001d001043	3	2	0
Zm00001d001044	1	1	0
Zm00001d001063	6	2	0
Zm00001d001065	166	71	3
Zm00001d001078	9	0	1
Zm00001d001079	69	0	0
Zm00001d001080	52	25	1
Zm00001d001082	4	9	0
Zm00001d001088	52	122	5
Zm00001d001094	10	10	0
Zm00001d001103	1	0	0
Zm00001d001113	27	29	2
Zm00001d001117	1	0	0
Zm00001d001133	0	4	0
Zm00001d001138	1	0	0
Zm00001d001140	1	1	0
Zm00001d001155	1	0	0
Zm00001d001165	1	1	0
Zm00001d001172	31	36	0
Zm00001d001185	5	7	0
Zm00001d001213	165	12	4
