gid	n_B73	n_Mo17	n_ambiguous
Zm00001d008199	1	9	1
Zm00001d008200	199	35	1
Zm00001d008201	16	145	3
Zm00001d008203	326	486	4
Zm00001d008205	92	180	5
Zm00001d008208	2	3	0
Zm00001d008209	8	18	0
Zm00001d008214	192	170	5
Zm00001d008215	100	105	1
Zm00001d008216	6	5	0
Zm00001d008218	90	79	3
Zm00001d008219	7	2	0
Zm00001d008221	0	2	0
Zm00001d008222	433	430	26
Zm00001d008223	0	24	0
Zm00001d008224	14	21	0
Zm00001d008225	10	6	0
Zm00001d008226	1373	1073	16
Zm00001d008228	1192	1704	22
Zm00001d008229	93	76	1
Zm00001d008230	4762	4194	165
Zm00001d008233	88	112	3
Zm00001d008236	301	327	8
Zm00001d008237	44	59	0
Zm00001d008245	8	1	0
Zm00001d008248	130	83	8
Zm00001d008249	8	107	1
Zm00001d008250	6	9	0
Zm00001d008255	1	1	0
Zm00001d008256	106	94	1
Zm00001d008257	141	130	2
Zm00001d008258	3	2	0
Zm00001d008259	145	154	0
Zm00001d008260	1	0	0
Zm00001d008261	1	0	0
Zm00001d008262	7	6	0
Zm00001d008268	237	548	3
Zm00001d008269	46	14	0
Zm00001d008271	53	72	1
Zm00001d008273	2	1	0
Zm00001d008278	57	38	1
Zm00001d008281	333	338	1
Zm00001d008282	21	17	1
Zm00001d008283	0	11	0
Zm00001d008284	384	396	32
Zm00001d008285	3	49	1
Zm00001d008287	1	4	0
Zm00001d008288	4	0	0
Zm00001d008289	9	8	0
Zm00001d008293	2	3	0
Zm00001d008294	12	34	3
Zm00001d008295	3	1	0
Zm00001d008296	57	9	2
Zm00001d008297	47	29	0
Zm00001d008298	4	1	0
Zm00001d008303	142	0	2
Zm00001d008305	189	238	6
Zm00001d008306	769	960	36
Zm00001d008307	14	17	0
Zm00001d008308	10	4	0
Zm00001d008310	28	52	2
Zm00001d008311	17	14	0
Zm00001d008312	22	3	0
Zm00001d008314	8	3	0
Zm00001d008316	12	1	0
Zm00001d008320	90	68	1
Zm00001d008321	2	0	0
Zm00001d008322	298	247	8
Zm00001d008323	141	197	3
Zm00001d008324	3	4	1
Zm00001d008326	1	0	0
Zm00001d008327	8	4	0
Zm00001d008330	27	31	1
Zm00001d008333	175	243	3
Zm00001d008338	7	13	2
Zm00001d008340	7	36	0
Zm00001d008342	7	16	1
Zm00001d008345	211	186	3
Zm00001d008347	0	1	0
Zm00001d008354	100	86	5
Zm00001d008356	10	8	1
Zm00001d008357	399	668	10
Zm00001d008359	1	0	0
Zm00001d008360	22	17	0
Zm00001d008363	185	218	6
Zm00001d008370	1	1	0
Zm00001d008371	1	6	0
Zm00001d008374	182	97	3
Zm00001d008376	261	340	12
Zm00001d008377	132	85	3
Zm00001d008379	5002	3549	143
Zm00001d008380	38	63	0
Zm00001d008382	0	13	0
Zm00001d008386	23	31	0
Zm00001d008387	418	343	12
Zm00001d008388	31	23	0
Zm00001d008389	62	41	0
Zm00001d008390	0	2	0
Zm00001d008392	0	1	0
Zm00001d008394	1473	1123	24
Zm00001d008395	152	45	1
Zm00001d008396	38	45	0
Zm00001d008397	1127	728	16
Zm00001d008398	4	24	0
Zm00001d008399	14	18	0
Zm00001d008405	184	101	2
Zm00001d008406	28	15	0
Zm00001d008407	153	191	6
Zm00001d008408	61	20	0
Zm00001d008409	3	5	1
Zm00001d008410	2	0	0
Zm00001d008411	93	68	0
Zm00001d008412	101	65	1
Zm00001d008413	52	75	0
Zm00001d008424	22	26	0
Zm00001d008425	26	15	0
Zm00001d008427	54	138	2
Zm00001d008428	136	95	1
Zm00001d008429	763	561	6
Zm00001d008430	125	82	3
Zm00001d008431	1	2	0
Zm00001d008432	87	106	5
Zm00001d008433	9	12	0
Zm00001d008434	1	5	0
Zm00001d008435	29	1	0
Zm00001d008437	1	0	0
Zm00001d008439	18	18	0
Zm00001d008440	57	59	3
Zm00001d008443	19	30	0
Zm00001d008449	6	1	0
Zm00001d008451	3	0	0
Zm00001d008452	1	1	0
Zm00001d008455	347	327	7
Zm00001d008456	34	0	0
Zm00001d008457	28	17	1
Zm00001d008468	11	0	0
Zm00001d008477	114	14	0
Zm00001d008478	0	4	0
Zm00001d008485	411	0	0
Zm00001d008487	0	2	1
Zm00001d008488	389	202	16
Zm00001d008489	2	4	0
Zm00001d008491	57	45	2
Zm00001d008493	86	75	1
Zm00001d008495	5	10	1
Zm00001d008496	3	5	0
Zm00001d008497	346	340	7
Zm00001d008498	143	118	8
Zm00001d008499	632	806	15
Zm00001d008500	153	134	2
Zm00001d008502	187	161	4
Zm00001d008503	7	2	0
Zm00001d008513	38	35	1
Zm00001d008514	0	4	0
Zm00001d008515	0	2	0
Zm00001d008516	3	15	0
Zm00001d008517	39	12	0
Zm00001d008524	0	8	0
Zm00001d008525	12	51	0
Zm00001d008527	38	21	2
Zm00001d008528	18	28	1
Zm00001d008529	2281	1911	51
Zm00001d008530	94	13	0
Zm00001d008531	168	237	5
Zm00001d008535	0	18	0
Zm00001d008537	0	6	0
Zm00001d008546	175	166	4
Zm00001d008559	267	170	9
Zm00001d008563	3	0	2
Zm00001d008564	30	10	0
Zm00001d008565	6	4	0
Zm00001d008567	133	133	6
Zm00001d008569	18	8	0
Zm00001d008570	2	25	0
Zm00001d008573	45	121	4
Zm00001d008577	0	16	0
Zm00001d008579	2	0	0
Zm00001d008580	4	1	0
Zm00001d008581	57	289	3
Zm00001d008582	3	29	0
Zm00001d008585	3	6	1
Zm00001d008586	0	1	0
Zm00001d008587	1	1	0
Zm00001d008588	14	15	0
Zm00001d008591	129	96	4
Zm00001d008592	8	0	0
Zm00001d008595	26	0	1
Zm00001d008596	103	74	2
Zm00001d008597	11	22	0
Zm00001d008599	9	0	0
Zm00001d008600	70	48	0
Zm00001d008601	10	13	0
Zm00001d008602	421	479	14
Zm00001d008604	50	29	1
Zm00001d008606	47	61	0
Zm00001d008610	69	67	2
Zm00001d008611	11	13	0
Zm00001d008612	160	168	3
Zm00001d008613	350	282	5
Zm00001d008614	39	28	0
Zm00001d008618	13	13	0
Zm00001d008619	633	608	10
Zm00001d008620	7382	3184	61
Zm00001d008621	9	25	0
Zm00001d008622	705	646	15
Zm00001d008623	20	4	0
Zm00001d008631	3	8	0
Zm00001d008633	0	5	0
Zm00001d008634	118	31	1
Zm00001d008640	343	280	3
Zm00001d008641	109	10	1
Zm00001d008642	154	656	11
Zm00001d008645	2823	1213	69
Zm00001d008646	240	132	2
Zm00001d008648	189	145	2
Zm00001d008649	3	2	0
Zm00001d008651	6	9	0
Zm00001d008654	28	46	0
Zm00001d008656	11	9	1
Zm00001d008665	19	6	0
Zm00001d008666	9	2	0
Zm00001d008669	140	70	3
Zm00001d008679	113	132	1
Zm00001d008681	4597	4324	122
Zm00001d008689	63	95	1
Zm00001d008691	285	241	4
Zm00001d008692	3	1	0
Zm00001d008699	2	0	0
Zm00001d008700	64	61	2
Zm00001d008706	21857	21802	246
Zm00001d008712	0	2	0
Zm00001d008716	1	0	0
Zm00001d008720	5	54	0
Zm00001d008721	1106	1486	34
Zm00001d008738	0	1	0
Zm00001d008739	240	310	6
Zm00001d008742	0	1	1
Zm00001d008743	81	82	0
Zm00001d008744	47	93	0
Zm00001d008748	12	14	0
Zm00001d008749	13	15	0
Zm00001d008752	38	35	0
Zm00001d008753	30	11	2
Zm00001d008756	2	0	0
Zm00001d008757	64	65	0
Zm00001d008758	21	12	0
Zm00001d008759	8	7	0
Zm00001d008762	10	3	0
Zm00001d008763	93	64	1
Zm00001d008764	147	86	2
Zm00001d008772	26	8	0
Zm00001d008773	12	0	0
Zm00001d008777	116	55	1
Zm00001d008779	0	1	0
Zm00001d008781	16	1	0
Zm00001d008782	1	2	0
Zm00001d008791	490	307	9
Zm00001d008793	1	0	0
Zm00001d008799	9	13	2
Zm00001d008800	1	0	0
Zm00001d008803	0	1	0
Zm00001d008805	35	5	1
Zm00001d008808	132	83	4
Zm00001d008810	2	0	0
Zm00001d008812	3	10	0
Zm00001d008815	84	26	1
Zm00001d008816	604	329	11
Zm00001d008820	596	421	18
Zm00001d008827	47	45	0
Zm00001d008837	2	0	0
Zm00001d008839	301	46	2
Zm00001d008842	90	11	0
Zm00001d008843	4	9	1
Zm00001d008844	3	30	1
Zm00001d008845	150	0	7
Zm00001d008846	32	55	0
Zm00001d008847	495	650	10
Zm00001d008849	2	4	0
Zm00001d008850	3	2	0
Zm00001d008851	101	258	5
Zm00001d008856	15	0	0
Zm00001d008858	507	220	4
Zm00001d008863	97	65	2
Zm00001d008865	27	48	2
Zm00001d008869	8	10	0
Zm00001d008870	75	21	0
Zm00001d008871	15	20	2
Zm00001d008872	1	0	0
Zm00001d008874	44	17	0
Zm00001d008875	2	7	0
Zm00001d008882	2	17	0
Zm00001d008883	19	20	0
Zm00001d008886	1	4	2
Zm00001d008890	40	66	3
Zm00001d008891	9	11	0
Zm00001d008892	14	19	0
Zm00001d008893	69	49	1
Zm00001d008904	4	7	0
Zm00001d008906	26	13	0
Zm00001d008907	381	390	4
Zm00001d008909	2	0	0
Zm00001d008913	3	1	0
Zm00001d008916	259	79	1
Zm00001d008922	5	6	0
Zm00001d008923	4	4	0
Zm00001d008925	124	76	1
Zm00001d008929	20	14	0
Zm00001d008932	25	28	0
Zm00001d008933	576	687	22
Zm00001d008940	1438	978	153
Zm00001d008941	44	46	1
Zm00001d008944	40	12	0
Zm00001d008951	400	0	1
Zm00001d008954	18	12	0
Zm00001d008957	354	236	4
Zm00001d008961	80	72	0
Zm00001d008962	584	539	2
Zm00001d008963	169	273	4
Zm00001d008965	53	40	1
Zm00001d008966	2	5	0
Zm00001d008970	9	10	0
Zm00001d008984	240	380	9
Zm00001d008985	77	4	1
Zm00001d008986	0	0	6
Zm00001d008987	18	6	0
Zm00001d008992	13	17	0
Zm00001d008993	475	327	2
Zm00001d008996	0	3	0
Zm00001d008997	230	152	2
Zm00001d008998	3	0	0
Zm00001d008999	17	33	0
Zm00001d009000	98	59	2
Zm00001d009004	16	12	0
Zm00001d009007	7	10	0
Zm00001d009010	2	8	0
Zm00001d009013	9	4	0
Zm00001d009017	16	15	0
Zm00001d009020	7	2	0
Zm00001d009022	2691	1698	20
Zm00001d009023	23	15	0
Zm00001d009024	8	14	0
Zm00001d009027	4	11	0
Zm00001d009029	54	37	1
Zm00001d009033	5	0	0
Zm00001d009034	33	45	2
Zm00001d009054	57	0	0
Zm00001d009055	36	42	1
Zm00001d009057	24	17	0
Zm00001d009066	1	0	0
Zm00001d009068	4	0	0
Zm00001d009071	11	23	1
Zm00001d009074	5	2	0
Zm00001d009075	11	14	1
Zm00001d009077	3	3	0
Zm00001d009082	4	13	0
Zm00001d009084	117	61	3
Zm00001d009085	20	0	0
Zm00001d009097	4	4	0
Zm00001d009103	9	5	0
Zm00001d009106	0	3	0
Zm00001d009108	43	50	0
Zm00001d009112	22	39	1
Zm00001d009115	0	1	0
Zm00001d009116	1	0	0
Zm00001d009117	6	18	0
Zm00001d009118	6	10	0
Zm00001d009121	3	2	0
Zm00001d009125	219	481	5
Zm00001d009127	56	44	0
Zm00001d009131	120	99	5
Zm00001d009132	13	46	2
Zm00001d009134	0	1	0
Zm00001d009140	1	0	0
Zm00001d009146	31	28	0
Zm00001d009150	35	38	0
Zm00001d009155	0	1	0
Zm00001d009161	143	90	2
Zm00001d009163	78	79	0
Zm00001d009171	18	20	0
Zm00001d009174	43	0	0
Zm00001d009177	6	7	0
Zm00001d009178	28	15	0
Zm00001d009181	0	10	1
Zm00001d009182	222	182	1
Zm00001d009183	1	0	0
Zm00001d009186	219	5	0
Zm00001d009187	11	0	0
Zm00001d009212	1	3	0
Zm00001d009215	0	1	0
Zm00001d009220	9	7	0
Zm00001d009236	1	5	0
Zm00001d009243	101	106	0
Zm00001d009270	0	2	0
Zm00001d009295	11	5	0
Zm00001d009296	0	5	0
Zm00001d009309	0	1	0
Zm00001d009311	1	0	0
Zm00001d009312	291	277	3
Zm00001d009314	44	34	0
Zm00001d009315	189	139	0
Zm00001d009316	37	32	0
Zm00001d009317	30	39	0
Zm00001d009324	42	60	0
Zm00001d009326	0	9	0
Zm00001d009327	1	0	0
Zm00001d009329	0	5	0
Zm00001d009330	788	984	22
Zm00001d009331	9	0	1
Zm00001d009336	0	8	0
Zm00001d009337	37	80	2
Zm00001d009339	1	3	0
Zm00001d009347	0	1	0
Zm00001d009348	1	0	0
Zm00001d009359	42	44	0
Zm00001d009364	5	4	0
Zm00001d009365	6	8	0
Zm00001d009377	0	2	0
Zm00001d009387	3	3	0
Zm00001d009401	31	21	0
Zm00001d009404	10	8	0
Zm00001d009407	176	269	2
Zm00001d009409	263	182	5
Zm00001d009410	28	113	2
Zm00001d009411	40	40	2
Zm00001d009413	392	226	5
Zm00001d009415	7	0	0
Zm00001d009416	11	11	1
Zm00001d009417	27	26	0
Zm00001d009418	663	683	10
Zm00001d009424	51	32	0
Zm00001d009425	240	158	5
Zm00001d009426	61	138	3
Zm00001d009430	1	0	0
Zm00001d009431	2	12	0
Zm00001d009481	1223	1435	29
Zm00001d009495	20	19	0
Zm00001d009496	203	223	5
Zm00001d009497	65	25	1
Zm00001d009513	13	0	0
Zm00001d009520	19	22	0
Zm00001d009539	33	30	1
Zm00001d009541	154	179	5
Zm00001d009542	51	53	0
Zm00001d009543	2	0	0
Zm00001d009548	45	40	0
Zm00001d009549	38	65	0
Zm00001d009552	380	113	2
Zm00001d009554	317	73	4
Zm00001d009555	134	135	0
Zm00001d009556	49	44	0
Zm00001d009567	2	1	0
Zm00001d009571	39	20	0
Zm00001d009572	12	6	0
Zm00001d009578	8	7	0
Zm00001d009579	28	23	0
Zm00001d009582	27	27	1
Zm00001d009583	8	1	0
Zm00001d009586	0	23	0
Zm00001d009587	8	2	1
Zm00001d009588	0	2	0
Zm00001d009589	29532	23767	392
Zm00001d009591	140	145	1
Zm00001d009592	0	0	1
Zm00001d009594	62	35	1
Zm00001d009596	178	170	1
Zm00001d009597	25	24	0
Zm00001d009599	22	7	1
Zm00001d009600	1060	17	7
Zm00001d009603	242	120	6
Zm00001d009608	7	7	0
Zm00001d009609	39	0	0
Zm00001d009610	5	0	0
Zm00001d009613	626	413	5
Zm00001d009618	7	7	0
Zm00001d009619	0	1	0
Zm00001d009622	1	2	0
Zm00001d009626	3	3	0
Zm00001d009638	382	171	2
Zm00001d009640	105	144	9
Zm00001d009645	515	182	0
Zm00001d009646	1	2	0
Zm00001d009649	0	1	0
Zm00001d009653	22	15	1
Zm00001d009660	17	32	1
Zm00001d009661	54	25	0
Zm00001d009666	7	1	0
Zm00001d009667	13	16	0
Zm00001d009669	383	343	6
Zm00001d009673	6	4	0
Zm00001d009674	1	0	0
Zm00001d009676	18	16	0
Zm00001d009683	219	183	2
Zm00001d009684	1	1	0
Zm00001d009686	1	3	0
Zm00001d009687	4	3	0
Zm00001d009690	12	7	0
Zm00001d009693	13	16	0
Zm00001d009694	23	36	0
Zm00001d009695	131	178	3
Zm00001d009700	381	347	3
Zm00001d009702	33	13	1
Zm00001d009705	0	1	0
Zm00001d009707	3	0	0
Zm00001d009708	194	122	2
Zm00001d009709	361	220	8
Zm00001d009710	4	2	0
Zm00001d009714	155	155	0
Zm00001d009715	126	111	0
Zm00001d009726	695	743	11
Zm00001d009727	110	0	0
Zm00001d009732	1	0	0
Zm00001d009733	6	23	0
Zm00001d009735	2	2	0
Zm00001d009741	0	2	0
Zm00001d009745	1	0	0
Zm00001d009748	1	0	0
Zm00001d009749	6	8	0
Zm00001d009750	138	104	2
Zm00001d009751	8	7	0
Zm00001d009759	1	1	0
Zm00001d009762	2	1	0
Zm00001d009765	0	1	0
Zm00001d009773	56	77	2
Zm00001d009774	472	144	2
Zm00001d009775	48	67	1
Zm00001d009776	54	60	0
Zm00001d009777	6	0	0
Zm00001d009779	25	18	0
Zm00001d009780	29	36	0
Zm00001d009783	0	1	0
Zm00001d009792	10	1	0
Zm00001d009795	74	58	2
Zm00001d009797	12	5	0
Zm00001d009798	2	5	1
Zm00001d009799	123	134	4
Zm00001d009800	4636	3650	87
Zm00001d009803	0	4	0
Zm00001d009805	1	0	0
Zm00001d009808	5	0	0
Zm00001d009810	1	2	0
Zm00001d009811	3	0	0
Zm00001d009813	82	56	0
Zm00001d009814	118	6	2
Zm00001d009820	3	0	0
Zm00001d009824	28	6	0
Zm00001d009826	2	0	1
Zm00001d009837	1	0	0
Zm00001d009840	33	32	0
Zm00001d009848	41	0	0
Zm00001d009849	78	71	0
Zm00001d009850	315	289	3
Zm00001d009856	29	31	0
Zm00001d009858	105	160	0
Zm00001d009859	10	6	0
Zm00001d009866	32	36	0
Zm00001d009868	251	240	2
Zm00001d009870	211	163	10
Zm00001d009872	1	16	0
Zm00001d009873	71	68	0
Zm00001d009874	141	103	3
Zm00001d009877	1895	1586	15
Zm00001d009878	99	86	1
Zm00001d009879	3	4	0
Zm00001d009883	490	0	3
Zm00001d009886	0	1	5
Zm00001d009888	4	0	0
Zm00001d009902	29	53	1
Zm00001d009903	207	147	5
Zm00001d009904	0	1	0
Zm00001d009907	139	27	0
Zm00001d009908	77	76	1
Zm00001d009910	44	27	0
Zm00001d009912	44	71	2
Zm00001d009913	0	11	0
Zm00001d009918	48	56	1
Zm00001d009919	9	7	0
Zm00001d009921	5	0	0
Zm00001d009927	252	275	8
Zm00001d009929	1307	1041	13
Zm00001d009930	20	16	0
Zm00001d009940	3	1	0
Zm00001d009941	244	249	5
Zm00001d009943	12	12	1
Zm00001d009953	0	5	0
Zm00001d009954	98	125	1
Zm00001d009958	10	0	0
Zm00001d009960	2	0	1
Zm00001d009964	23	10	0
Zm00001d009965	130	56	0
Zm00001d009967	463	619	12
Zm00001d009969	3	0	0
Zm00001d009971	0	1	0
Zm00001d009983	661	667	9
Zm00001d009985	0	4	0
Zm00001d009987	308	518	4
Zm00001d009990	27	22	0
Zm00001d009997	7	14	0
Zm00001d010000	1	1	0
Zm00001d010001	2	5	0
Zm00001d010007	43	66	0
Zm00001d010021	50	57	0
Zm00001d010023	268	258	3
Zm00001d010025	25	0	0
Zm00001d010026	56	52	0
Zm00001d010029	25	21	1
Zm00001d010031	11	12	0
Zm00001d010032	9	5	0
Zm00001d010033	17	22	1
Zm00001d010037	2	0	0
Zm00001d010038	7	1	0
Zm00001d010039	33	32	0
Zm00001d010047	51	65	2
Zm00001d010048	210	196	5
Zm00001d010050	31	30	0
Zm00001d010052	15	6	0
Zm00001d010053	18	31	0
Zm00001d010054	134	88	1
Zm00001d010055	35	51	0
Zm00001d010056	30	20	1
Zm00001d010061	1473	228	36
Zm00001d010062	5	3	0
Zm00001d010066	1	0	0
Zm00001d010068	1	0	0
Zm00001d010092	0	1	0
Zm00001d010109	6	3	0
Zm00001d010116	0	1	0
Zm00001d010120	86	80	4
Zm00001d010126	3	1	0
Zm00001d010128	9	13	0
Zm00001d010131	0	1	0
Zm00001d010136	1	0	0
Zm00001d010137	55	76	2
Zm00001d010141	40	78	0
Zm00001d010143	8	0	0
Zm00001d010146	12	8	0
Zm00001d010152	6	0	0
Zm00001d010154	0	51	2
Zm00001d010159	75	79	1
Zm00001d010168	3	4	0
Zm00001d010170	0	2	0
Zm00001d010171	48	12	0
Zm00001d010172	480	322	3
Zm00001d010173	71	45	1
Zm00001d010175	3	0	0
Zm00001d010179	2	0	0
Zm00001d010180	4	4	0
Zm00001d010183	3	1	0
Zm00001d010189	32	52	3
Zm00001d010190	12	8	0
Zm00001d010198	5	18	0
Zm00001d010201	1	1	0
Zm00001d010202	4	0	0
Zm00001d010204	106	207	10
Zm00001d010206	3	1	0
Zm00001d010207	3	1	0
Zm00001d010210	45	37	3
Zm00001d010211	28	24	0
Zm00001d010212	3	0	0
Zm00001d010213	139	101	4
Zm00001d010214	39	69	1
Zm00001d010216	111	39	3
Zm00001d010220	2	1	0
Zm00001d010222	24	6	0
Zm00001d010225	40	44	0
Zm00001d010227	2609	740	15
Zm00001d010230	174	54	2
Zm00001d010231	189	91	1
Zm00001d010232	1	0	0
Zm00001d010234	31	15	1
Zm00001d010235	123	162	4
Zm00001d010236	73	56	0
Zm00001d010239	4	6	0
Zm00001d010240	9	13	0
Zm00001d010241	2	4	0
Zm00001d010243	22	21	0
Zm00001d010244	9	15	0
Zm00001d010248	964	920	32
Zm00001d010251	20	24	0
Zm00001d010256	4	6	0
Zm00001d010257	1	0	0
Zm00001d010258	1	0	0
Zm00001d010259	195	133	2
Zm00001d010260	0	1	0
Zm00001d010266	50	44	1
Zm00001d010269	29	17	1
Zm00001d010271	368	299	3
Zm00001d010274	107	93	2
Zm00001d010275	0	2	1
Zm00001d010280	1	0	0
Zm00001d010282	1	0	0
Zm00001d010285	0	2	0
Zm00001d010290	56	45	0
Zm00001d010292	60	671	12
Zm00001d010294	37	37	0
Zm00001d010304	1	0	0
Zm00001d010305	227	289	4
Zm00001d010308	12	9	0
Zm00001d010309	210	204	4
Zm00001d010313	33	121	4
Zm00001d010314	609	646	9
Zm00001d010315	10	5	0
Zm00001d010317	1	0	0
Zm00001d010319	27	3	0
Zm00001d010321	2144	2267	27
Zm00001d010322	137	139	2
Zm00001d010324	91	127	5
Zm00001d010329	5	8	0
Zm00001d010336	145	128	3
Zm00001d010337	9	13	0
Zm00001d010339	0	7	0
Zm00001d010340	16	28	0
Zm00001d010341	75	63	1
Zm00001d010343	12	4	0
Zm00001d010360	38	0	0
Zm00001d010368	41	51	0
Zm00001d010369	0	5	0
Zm00001d010373	2	4	0
Zm00001d010375	5	0	0
Zm00001d010376	0	1	0
Zm00001d010380	1	2	0
Zm00001d010388	26	41	1
Zm00001d010395	17	18	0
Zm00001d010397	31	9	0
Zm00001d010399	22	25	2
Zm00001d010404	0	9	0
Zm00001d010406	0	1	0
Zm00001d010409	1	0	0
Zm00001d010410	332	111	5
Zm00001d010413	436	424	12
Zm00001d010416	8	13	0
Zm00001d010420	1	0	0
Zm00001d010421	51	23	1
Zm00001d010424	14	8	0
Zm00001d010425	261	297	2
Zm00001d010426	188	126	4
Zm00001d010428	23	32	0
Zm00001d010431	43	18	1
Zm00001d010434	2	0	0
Zm00001d010436	3	1	0
Zm00001d010439	3	0	0
Zm00001d010440	5	37	0
Zm00001d010443	0	1	0
Zm00001d010445	56	80	0
Zm00001d010446	5	0	0
Zm00001d010447	64	71	2
Zm00001d010466	27	35	0
Zm00001d010470	117	116	1
Zm00001d010476	24	18	0
Zm00001d010478	191	78	4
Zm00001d010480	3	3	0
Zm00001d010481	26	23	0
Zm00001d010487	0	1	0
Zm00001d010488	0	5	0
Zm00001d010489	8	0	2
Zm00001d010490	65	102	0
Zm00001d010491	195	238	0
Zm00001d010492	81	73	2
Zm00001d010493	8	9	0
Zm00001d010494	0	1	0
Zm00001d010495	9	16	0
Zm00001d010497	78	53	1
Zm00001d010499	28	41	1
Zm00001d010504	39	27	0
Zm00001d010520	2	2	0
Zm00001d010522	93	170	0
Zm00001d010523	902	840	8
Zm00001d010525	16	5	0
Zm00001d010527	9	1	0
Zm00001d010528	67	53	0
Zm00001d010529	123	85	5
Zm00001d010530	211	164	4
Zm00001d010534	127	206	2
Zm00001d010535	775	576	10
Zm00001d010536	1201	310	7
Zm00001d010537	98	121	2
Zm00001d010538	126	144	0
Zm00001d010540	1	0	0
Zm00001d010543	1	1	0
Zm00001d010545	3	1	0
Zm00001d010546	28	32	0
Zm00001d010556	194	177	1
Zm00001d010558	20	20	1
Zm00001d010560	5	0	0
Zm00001d010564	16	5	0
Zm00001d010572	1	0	0
Zm00001d010579	7	8	0
Zm00001d010583	94	106	3
Zm00001d010585	63	102	0
Zm00001d010586	5	1	0
Zm00001d010588	11	2	0
Zm00001d010589	132	129	2
Zm00001d010590	29	48	2
Zm00001d010593	0	0	1
Zm00001d010599	3	10	0
Zm00001d010602	147	157	1
Zm00001d010603	51	98	0
Zm00001d010604	74	124	3
Zm00001d010606	1395	1117	20
Zm00001d010607	111	76	2
Zm00001d010610	0	1	0
Zm00001d010611	3	2	0
Zm00001d010614	193	137	8
Zm00001d010615	85	68	2
Zm00001d010616	0	2	0
Zm00001d010618	2160	2633	37
Zm00001d010619	5	2	0
Zm00001d010620	0	1	0
Zm00001d010622	14	7	0
Zm00001d010625	54	57	0
Zm00001d010627	135	322	12
Zm00001d010628	1	0	0
Zm00001d010632	74	87	1
Zm00001d010634	139	111	1
Zm00001d010635	41	49	2
Zm00001d010638	5	5	0
Zm00001d010639	148	86	2
Zm00001d010640	95	218	1
Zm00001d010646	153	266	6
Zm00001d010648	1	0	0
Zm00001d010649	3	2	0
Zm00001d010653	25	0	0
Zm00001d010654	87	39	2
Zm00001d010656	0	1	0
Zm00001d010658	0	1	0
Zm00001d010662	370	212	12
Zm00001d010667	4	5	0
Zm00001d010670	0	1	0
Zm00001d010671	1	0	0
Zm00001d010676	0	1	0
Zm00001d010679	6	1	0
Zm00001d010684	14	1	0
Zm00001d010689	11	5	0
Zm00001d010690	317	206	7
Zm00001d010693	93	5	0
Zm00001d010698	31	5	2
Zm00001d010699	3	1	0
Zm00001d010702	764	881	9
Zm00001d010704	32	1	0
Zm00001d010705	4	3	0
Zm00001d010710	152	206	4
Zm00001d010711	182	119	3
Zm00001d010713	23	23	0
Zm00001d010714	6	2	0
Zm00001d010715	2617	2113	12
Zm00001d010716	34	32	0
Zm00001d010719	8	15	0
Zm00001d010720	19	43	2
Zm00001d010723	31	17	0
Zm00001d010724	110	80	1
Zm00001d010727	0	3	0
Zm00001d010730	30	67	0
Zm00001d010731	2	4	0
Zm00001d010732	3	1	0
Zm00001d010733	357	167	2
Zm00001d010736	0	1	0
Zm00001d010743	4	18	0
Zm00001d010744	143	86	0
Zm00001d010753	1	0	0
Zm00001d010754	268	58	5
Zm00001d010755	176	153	2
Zm00001d010758	24	15	0
Zm00001d010785	5	12	0
Zm00001d010788	7	0	0
Zm00001d010790	24	19	0
Zm00001d010791	94	182	4
Zm00001d010792	45	25	0
Zm00001d010795	2	2	0
Zm00001d010798	23	29	0
Zm00001d010799	705	856	13
Zm00001d010800	10	0	0
Zm00001d010801	0	4	0
Zm00001d010803	50	44	2
Zm00001d010804	373	142	3
Zm00001d010805	8	4	0
Zm00001d010806	90	89	1
Zm00001d010808	30	21	0
Zm00001d010811	196	132	2
Zm00001d010812	0	1	0
Zm00001d010814	26	9	0
Zm00001d010816	11	19	0
Zm00001d010819	0	1	0
Zm00001d010821	1349	591	16
Zm00001d010822	1378	1208	16
Zm00001d010823	10	22	0
Zm00001d010828	1	1	0
Zm00001d010834	39	41	0
Zm00001d010835	41	14	0
Zm00001d010838	117	50	0
Zm00001d010842	131	157	4
Zm00001d010852	3	3	0
Zm00001d010859	131	160	1
Zm00001d010862	9	5	0
Zm00001d010866	5	2	0
Zm00001d010868	0	4	0
Zm00001d010869	8	4	0
Zm00001d010870	2	0	0
Zm00001d010871	4619	3361	48
Zm00001d010872	80	42	2
Zm00001d010874	1	0	0
Zm00001d010877	24	8	0
Zm00001d010880	14	15	0
Zm00001d010881	0	2	1
Zm00001d010884	0	1	0
Zm00001d010892	56	12	0
Zm00001d010894	53	31	3
Zm00001d010902	1	1	0
Zm00001d010905	0	1	0
Zm00001d010906	2	0	0
Zm00001d010907	3	2	0
Zm00001d010908	222	191	0
Zm00001d010910	81	115	1
Zm00001d010914	6	4	0
Zm00001d010915	37	36	2
Zm00001d010918	43	53	0
Zm00001d010919	76	61	0
Zm00001d010920	1182	1378	19
Zm00001d010924	1	2	0
Zm00001d010940	89	50	1
Zm00001d010942	1	0	0
Zm00001d010944	38	25	0
Zm00001d010945	5	4	0
Zm00001d010946	168	182	4
Zm00001d010950	147	152	1
Zm00001d010954	34	17	0
Zm00001d010956	224	326	16
Zm00001d010957	14	9	0
Zm00001d010961	1	22	0
Zm00001d010967	481	447	4
